segment,duration_s,ch,id_hex,meaning,count,unique,first,last,score,top_values
baseline_idle_end,10.011,1,0x559,body_gateway_4: windows/heated steering state candidate,53,2,00 40 00 00 20 00 00 40,00 40 00 00 00 00 00 40,31,00 40 00 00 20 00 00 40 x27 | 00 40 00 00 00 00 00 40 x26
baseline_idle_end,10.011,0,0x132,DATC mode display M-CAN,13,2,90 00 00 28 00 00 00 00,D0 C0 00 20 00 00 00 00,31,D0 C0 00 20 00 00 00 00 x7 | 90 00 00 28 00 00 00 00 x6
baseline_idle_end,10.011,0,0x134,M-CAN DATC seat heat/vent display candidate,13,2,03 00 00 02 00 00 10 00,03 00 00 00 00 00 30 00,31,03 00 00 00 00 00 30 00 x7 | 03 00 00 02 00 00 10 00 x6
baseline_idle_end,10.011,1,0x4E6,M-CAN generic multimedia text transport,101,6,49 C4 00 00 83 83 8C 00,80 80 00 00 80 80 00 00,27,49 C4 00 00 83 83 8C 00 x45 | 80 80 00 00 80 80 00 00 x40 | 49 C4 00 00 83 83 8D 00 x9 | 49 B9 00 00 80 80 00 00 x5
baseline_idle_end,10.011,0,0x169,gear/reverse secondary candidate,60,6,20 01 03 FF 14 00 40 00,2F 00 00 FF 14 00 40 00,27,20 01 03 FF 14 00 40 00 x26 | 2F 00 00 FF 14 00 40 00 x18 | 29 01 00 FF 14 00 40 00 x7 | 29 01 03 FF 14 00 40 00 x5
baseline_idle_end,10.011,1,0x436,PAS11 parking sensor distances; stayed zero in captured segments,201,1,00 00 00 00,00 00 00 00,22,00 00 00 00 x201
baseline_idle_end,10.011,1,0x490,M-CAN USB media text transport / Music USB spam candidate,200,1,01 00 10 20 00 00 00,01 00 10 20 00 00 00,22,01 00 10 20 00 00 00 x200
baseline_idle_end,10.011,1,0x58B,LCA/RCTA/blind spot; stayed fixed in parking/RCTA attempts,107,1,11 00 04 00 00 00 00 20,11 00 04 00 00 00 00 20,22,11 00 04 00 00 00 00 20 x107
driver_door_open_close_done,49.376,1,0x5CF,seat/climate secondary candidate,116,2,3F 22 00 00 00 7F 80 00,3F 21 00 00 00 7F 80 00,31,3F 21 00 00 00 7F 80 00 x113 | 3F 22 00 00 00 7F 80 00 x3
driver_door_open_close_done,49.376,0,0x169,gear/reverse secondary candidate,113,2,2F 00 00 FF 14 00 40 00,1F 00 00 FF 14 00 00 00,31,1F 00 00 FF 14 00 00 00 x111 | 2F 00 00 FF 14 00 40 00 x2
driver_door_open_close_done,49.376,1,0x541,body_gateway: ignition/doors/trunk/hood/sunroof/lights; sunroof DATA[7]&0x02 confirmed,497,2,00 00 41 00 C0 00 00 01,00 00 41 00 C0 00 00 01,26,00 00 41 00 C0 00 00 01 x428 | 00 01 41 00 C0 00 00 01 x69
driver_door_open_close_done,49.376,1,0x316,EMS speed/rpm/temperature family,1167,1,04 00 00 00 00 12 00 70,04 00 00 00 00 12 00 70,22,04 00 00 00 00 12 00 70 x1167
driver_door_open_close_done,49.376,1,0x436,PAS11 parking sensor distances; stayed zero in captured segments,985,1,00 00 00 00,00 00 00 00,22,00 00 00 00 x985
driver_door_open_close_done,49.376,1,0x50E,gear/reverse secondary candidate,247,1,20 00 00 20 00 00 00 00,20 00 00 20 00 00 00 00,22,20 00 00 20 00 00 00 00 x247
driver_door_open_close_done,49.376,1,0x553,body_gateway_2: rear doors/diagnostic related,247,1,00 00 00 08 01 00 C0 00,00 00 00 08 01 00 C0 00,22,00 00 00 08 01 00 C0 00 x247
driver_door_open_close_done,49.376,1,0x559,body_gateway_4: windows/heated steering state candidate,247,1,00 40 00 00 00 00 00 40,00 40 00 00 00 00 00 40,22,00 40 00 00 00 00 00 40 x247
driver_door_open_close_done,49.376,1,0x490,M-CAN USB media text transport / Music USB spam candidate,207,1,01 00 10 20 00 00 00,01 00 10 20 00 00 00,22,01 00 10 20 00 00 00 x207
passenger_front_door_open_close_done,33.950,1,0x541,body_gateway: ignition/doors/trunk/hood/sunroof/lights; sunroof DATA[7]&0x02 confirmed,336,2,00 00 41 00 C0 00 00 01,00 00 41 00 C0 00 00 01,26,00 00 41 00 C0 00 00 01 x302 | 00 00 41 00 C8 00 00 01 x34
passenger_front_door_open_close_done,33.950,0,0x169,gear/reverse secondary candidate,67,2,1F 00 00 FF 14 00 00 00,1F 00 00 FF 14 00 00 00,26,1F 00 00 FF 14 00 00 00 x62 | 3F 00 00 FF 14 00 00 00 x5
passenger_front_door_open_close_done,33.950,1,0x553,body_gateway_2: rear doors/diagnostic related,173,3,00 00 00 08 01 00 C0 00,00 00 00 08 01 00 C0 00,25,00 00 00 08 01 00 C0 00 x153 | 00 00 01 08 01 00 C0 00 x19 | 00 00 10 08 01 00 C0 00 x1
passenger_front_door_open_close_done,33.950,1,0x436,PAS11 parking sensor distances; stayed zero in captured segments,662,1,00 00 00 00,00 00 00 00,22,00 00 00 00 x662
passenger_front_door_open_close_done,33.950,1,0x50E,gear/reverse secondary candidate,166,1,20 00 00 20 00 00 00 00,20 00 00 20 00 00 00 00,22,20 00 00 20 00 00 00 00 x166
passenger_front_door_open_close_done,33.950,1,0x559,body_gateway_4: windows/heated steering state candidate,166,1,00 40 00 00 00 00 00 40,00 40 00 00 00 00 00 40,22,00 40 00 00 00 00 00 40 x166
rear_left_door_open_close_done,37.748,1,0x553,body_gateway_2: rear doors/diagnostic related,199,5,00 00 00 08 01 00 C0 00,00 00 00 08 01 00 C0 00,23,00 00 00 08 01 00 C0 00 x159 | 00 00 00 09 01 00 C0 00 x27 | 00 00 01 08 01 00 C0 00 x11 | 00 00 01 09 01 00 C0 00 x1
rear_left_door_open_close_done,37.748,1,0x436,PAS11 parking sensor distances; stayed zero in captured segments,755,1,00 00 00 00,00 00 00 00,22,00 00 00 00 x755
rear_left_door_open_close_done,37.748,1,0x541,body_gateway: ignition/doors/trunk/hood/sunroof/lights; sunroof DATA[7]&0x02 confirmed,377,1,00 00 41 00 C0 00 00 01,00 00 41 00 C0 00 00 01,22,00 00 41 00 C0 00 00 01 x377
rear_left_door_open_close_done,37.748,1,0x50E,gear/reverse secondary candidate,189,1,20 00 00 20 00 00 00 00,20 00 00 20 00 00 00 00,22,20 00 00 20 00 00 00 00 x189
rear_left_door_open_close_done,37.748,1,0x559,body_gateway_4: windows/heated steering state candidate,189,1,00 40 00 00 00 00 00 40,00 40 00 00 00 00 00 40,22,00 40 00 00 00 00 00 40 x189
rear_left_door_open_close_done,37.748,0,0x169,gear/reverse secondary candidate,58,1,1F 00 00 FF 14 00 00 00,1F 00 00 FF 14 00 00 00,22,1F 00 00 FF 14 00 00 00 x58
rear_right_door_open_close_done,34.448,1,0x553,body_gateway_2: rear doors/diagnostic related,176,2,00 00 00 08 01 00 C0 00,00 00 00 08 01 00 C0 00,26,00 00 00 08 01 00 C0 00 x152 | 00 00 80 08 01 00 C0 00 x24
rear_right_door_open_close_done,34.448,1,0x436,PAS11 parking sensor distances; stayed zero in captured segments,689,1,00 00 00 00,00 00 00 00,22,00 00 00 00 x689
rear_right_door_open_close_done,34.448,1,0x541,body_gateway: ignition/doors/trunk/hood/sunroof/lights; sunroof DATA[7]&0x02 confirmed,345,1,00 00 41 00 C0 00 00 01,00 00 41 00 C0 00 00 01,22,00 00 41 00 C0 00 00 01 x345
rear_right_door_open_close_done,34.448,1,0x50E,gear/reverse secondary candidate,172,1,20 00 00 20 00 00 00 00,20 00 00 20 00 00 00 00,22,20 00 00 20 00 00 00 00 x172
rear_right_door_open_close_done,34.448,1,0x559,body_gateway_4: windows/heated steering state candidate,172,1,00 40 00 00 00 00 00 40,00 40 00 00 00 00 00 40,22,00 40 00 00 00 00 00 40 x172
rear_right_door_open_close_done,34.448,0,0x169,gear/reverse secondary candidate,48,1,1F 00 00 FF 14 00 00 00,1F 00 00 FF 14 00 00 00,22,1F 00 00 FF 14 00 00 00 x48
trunk_open_close_done,38.214,1,0x541,body_gateway: ignition/doors/trunk/hood/sunroof/lights; sunroof DATA[7]&0x02 confirmed,411,4,00 00 41 00 C0 00 00 01,00 00 41 00 C0 00 00 01,24,00 00 41 00 C0 00 00 01 x283 | 00 10 41 00 C0 00 00 01 x84 | 00 10 49 00 C0 00 00 41 x35 | 00 00 49 00 C0 00 00 41 x9
trunk_open_close_done,38.214,1,0x436,PAS11 parking sensor distances; stayed zero in captured segments,765,1,00 00 00 00,00 00 00 00,22,00 00 00 00 x765
trunk_open_close_done,38.214,1,0x50E,gear/reverse secondary candidate,191,1,20 00 00 20 00 00 00 00,20 00 00 20 00 00 00 00,22,20 00 00 20 00 00 00 00 x191
trunk_open_close_done,38.214,1,0x553,body_gateway_2: rear doors/diagnostic related,191,1,00 00 00 08 01 00 C0 00,00 00 00 08 01 00 C0 00,22,00 00 00 08 01 00 C0 00 x191
trunk_open_close_done,38.214,1,0x559,body_gateway_4: windows/heated steering state candidate,191,1,00 40 00 00 00 00 00 40,00 40 00 00 00 00 00 40,22,00 40 00 00 00 00 00 40 x191
trunk_open_close_done,38.214,1,0x386,wheel speeds,992,16,00 40 00 40 00 40 00 80,00 00 00 40 00 40 00 80,13,00 40 00 40 00 40 00 80 x62 | 00 80 00 40 00 40 00 80 x62 | 00 C0 00 40 00 40 00 80 x62 | 00 00 00 80 00 40 00 80 x62
hood_open_close_done_contaminated_with_driver_door,66.100,1,0x541,body_gateway: ignition/doors/trunk/hood/sunroof/lights; sunroof DATA[7]&0x02 confirmed,682,5,00 00 41 00 C0 00 00 01,00 00 41 00 C0 00 00 01,23,00 00 41 00 C0 00 00 01 x478 | 00 01 41 00 C0 00 00 01 x80 | 00 00 43 00 C0 00 00 01 x75 | 00 01 43 00 C0 00 00 01 x45
hood_open_close_done_contaminated_with_driver_door,66.100,1,0x436,PAS11 parking sensor distances; stayed zero in captured segments,1323,1,00 00 00 00,00 00 00 00,22,00 00 00 00 x1323
hood_open_close_done_contaminated_with_driver_door,66.100,1,0x50E,gear/reverse secondary candidate,331,1,20 00 00 20 00 00 00 00,20 00 00 20 00 00 00 00,22,20 00 00 20 00 00 00 00 x331
hood_open_close_done_contaminated_with_driver_door,66.100,1,0x553,body_gateway_2: rear doors/diagnostic related,331,1,00 00 00 08 01 00 C0 00,00 00 00 08 01 00 C0 00,22,00 00 00 08 01 00 C0 00 x331
hood_open_close_done_contaminated_with_driver_door,66.100,1,0x559,body_gateway_4: windows/heated steering state candidate,331,1,00 40 00 00 00 00 00 40,00 40 00 00 00 00 00 40,22,00 40 00 00 00 00 00 40 x331
hood_open_close_done_contaminated_with_driver_door,66.100,0,0x169,gear/reverse secondary candidate,142,1,1F 00 00 FF 14 00 00 00,1F 00 00 FF 14 00 00 00,22,1F 00 00 FF 14 00 00 00 x142
ignition_on_engine_off_and_sunroof_3x_open_close_done,57.039,1,0x4F4,"SPAS12 parking display/status on C-CAN; also Android Auto text on M-CAN, bus matters",718,2,00 00 C0 00 00 00 00 00,00 00 C0 00 00 00 00 01,31,00 00 C0 00 00 00 00 01 x717 | 00 00 C0 00 00 00 00 00 x1
ignition_on_engine_off_and_sunroof_3x_open_close_done,57.039,1,0x4E5,driver seat heat C-CAN candidate,351,2,80 00 00 17 49 D0 00 00,80 00 00 0B 49 D0 00 00,31,80 00 00 0B 49 D0 00 00 x350 | 80 00 00 17 49 D0 00 00 x1
ignition_on_engine_off_and_sunroof_3x_open_close_done,57.039,1,0x559,body_gateway_4: windows/heated steering state candidate,219,2,00 40 00 00 00 00 00 40,00 40 00 00 20 00 00 40,31,00 40 00 00 20 00 00 40 x181 | 00 40 00 00 00 00 00 40 x38
ignition_on_engine_off_and_sunroof_3x_open_close_done,57.039,1,0x043,DATC C-CAN display/status; also TMU_GW on M-CAN depending bus,40,2,00 00 00 0E 00 00 00 00,00 00 00 04 03 00 00 00,31,00 00 00 04 03 00 00 00 x37 | 00 00 00 0E 00 00 00 00 x3
ignition_on_engine_off_and_sunroof_3x_open_close_done,57.039,1,0x58B,LCA/RCTA/blind spot; stayed fixed in parking/RCTA attempts,709,3,00 00 0C 00 00 00 00 60,11 00 04 00 00 00 00 20,30,11 00 04 00 00 00 00 20 x647 | 11 03 07 00 00 00 00 2F x61 | 00 00 0C 00 00 00 00 60 x1
ignition_on_engine_off_and_sunroof_3x_open_close_done,57.039,1,0x490,M-CAN USB media text transport / Music USB spam candidate,700,3,01 00 00 40 00 00 00,01 00 10 20 00 00 00,30,01 00 10 20 00 00 00 x691 | 01 00 10 40 00 00 00 x8 | 01 00 00 40 00 00 00 x1
ignition_on_engine_off_and_sunroof_3x_open_close_done,57.039,1,0x4E6,M-CAN generic multimedia text transport,356,3,80 80 00 00 80 80 7E 00,80 80 00 00 80 80 7D 00,30,80 80 00 00 80 80 7D 00 x277 | 80 80 00 00 80 80 7E 00 x54 | 80 80 00 00 80 80 7C 00 x25
ignition_on_engine_off_and_sunroof_3x_open_close_done,57.039,0,0x134,M-CAN DATC seat heat/vent display candidate,52,3,00 00 00 00 00 00 30 00,03 00 00 02 00 00 10 00,30,03 00 00 02 00 00 10 00 x38 | 00 00 00 00 00 00 30 00 x11 | 00 00 00 02 00 00 30 00 x3
ignition_on_engine_off_and_sunroof_3x_open_close_done,57.039,0,0x131,DATC temp display M-CAN,48,3,00 00 00 00 00 00 00 00,00 00 FF 00 00 00 FF 00,30,00 00 FF 00 00 00 FF 00 x37 | 00 00 00 00 00 00 00 00 x9 | FF 00 FF 00 FF 00 FF 00 x2
ignition_on_engine_off_and_sunroof_3x_open_close_done,57.039,1,0x541,body_gateway: ignition/doors/trunk/hood/sunroof/lights; sunroof DATA[7]&0x02 confirmed,442,4,00 00 41 00 C0 00 00 01,03 00 41 00 C0 00 00 01,29,03 00 41 00 C0 00 00 01 x284 | 03 00 41 00 C0 00 00 03 x81 | 00 00 41 00 C0 00 00 01 x67 | 02 00 41 00 C0 00 00 01 x10
parking_lights_on_off_done_ignition_on_engine_off,72.509,1,0x4E6,M-CAN generic multimedia text transport,533,3,80 80 00 00 80 80 7D 00,80 80 00 00 80 80 7C 00,30,80 80 00 00 80 80 7C 00 x346 | 80 80 00 00 80 80 00 00 x94 | 80 80 00 00 80 80 7D 00 x93
parking_lights_on_off_done_ignition_on_engine_off,72.509,1,0x5CF,seat/climate secondary candidate,523,4,3F 07 00 00 00 7F 80 00,3F 06 00 00 00 7F 80 00,29,3F 06 00 00 00 7F 80 00 x450 | 3F 04 00 00 00 7F 80 00 x37 | 3F 05 00 00 00 7F 80 00 x33 | 3F 07 00 00 00 7F 80 00 x3
parking_lights_on_off_done_ignition_on_engine_off,72.509,1,0x4F4,"SPAS12 parking display/status on C-CAN; also Android Auto text on M-CAN, bus matters",884,2,00 00 C0 00 00 00 00 01,00 00 C0 00 00 00 00 01,26,00 00 C0 00 00 00 00 01 x883 | 00 00 C0 00 00 00 00 00 x1
parking_lights_on_off_done_ignition_on_engine_off,72.509,1,0x4E5,driver seat heat C-CAN candidate,544,2,80 00 00 0B 49 D0 00 00,80 00 00 0B 49 D0 00 00,26,80 00 00 0B 49 D0 00 00 x543 | 80 00 00 1C 49 D0 00 00 x1
parking_lights_on_off_done_ignition_on_engine_off,72.509,1,0x559,body_gateway_4: windows/heated steering state candidate,270,2,00 40 00 00 20 00 00 40,00 40 00 00 20 00 00 40,26,00 40 00 00 20 00 00 40 x223 | 00 40 00 00 00 00 00 40 x47
parking_lights_on_off_done_ignition_on_engine_off,72.509,0,0x131,DATC temp display M-CAN,54,2,00 00 FF 00 00 00 FF 00,00 00 FF 00 00 00 FF 00,26,00 00 FF 00 00 00 FF 00 x49 | 00 00 00 00 00 00 00 00 x5
parking_lights_on_off_done_ignition_on_engine_off,72.509,1,0x043,DATC C-CAN display/status; also TMU_GW on M-CAN depending bus,47,2,00 00 00 04 03 00 00 00,00 00 00 04 03 00 00 00,26,00 00 00 04 03 00 00 00 x44 | 00 00 00 0E 00 00 00 00 x3
parking_lights_on_off_done_ignition_on_engine_off,72.509,1,0x111,TCU gear/reverse candidate; reverse seen DATA[4]=0x64 in R segment,4461,4,00 40 61 FF 64 00 00 94,00 40 61 FF 64 00 00 58,26,00 40 61 FF 64 00 00 94 x1123 | 00 40 61 FF 64 00 00 58 x1116 | 00 40 61 FF 64 00 00 D0 x1114 | 00 40 61 FF 64 00 00 1C x1108
light_switch_auto_to_lowbeam_to_auto_done,57.478,1,0x4E6,M-CAN generic multimedia text transport,414,2,80 80 00 00 80 80 7C 00,80 80 00 00 80 80 7C 00,26,80 80 00 00 80 80 7C 00 x298 | 80 80 00 00 80 80 7B 00 x116
light_switch_auto_to_lowbeam_to_auto_done,57.478,1,0x553,body_gateway_2: rear doors/diagnostic related,230,2,00 00 00 08 01 00 C0 00,00 00 00 08 01 00 C0 00,26,00 00 00 08 01 00 C0 00 x171 | 00 00 40 0A 01 00 C0 00 x59
light_switch_auto_to_lowbeam_to_auto_done,57.478,1,0x111,TCU gear/reverse candidate; reverse seen DATA[4]=0x64 in R segment,4227,4,00 40 61 FF 64 00 00 58,00 40 61 FF 64 00 00 1C,26,00 40 61 FF 64 00 00 94 x1063 | 00 40 61 FF 64 00 00 1C x1056 | 00 40 61 FF 64 00 00 D0 x1056 | 00 40 61 FF 64 00 00 58 x1052
light_switch_auto_to_lowbeam_to_auto_done,57.478,1,0x541,body_gateway: ignition/doors/trunk/hood/sunroof/lights; sunroof DATA[7]&0x02 confirmed,439,5,03 00 41 00 C0 00 00 01,03 00 41 00 C0 00 00 01,23,03 00 41 00 C0 00 00 01 x300 | 03 00 41 80 80 00 00 01 x102 | 03 00 41 00 00 00 00 01 x21 | 03 00 41 00 40 00 00 01 x15
light_switch_auto_to_lowbeam_to_auto_done,57.478,1,0x436,PAS11 parking sensor distances; stayed zero in captured segments,890,1,00 00 00 00,00 00 00 00,22,00 00 00 00 x890
light_switch_auto_to_lowbeam_to_auto_done,57.478,1,0x490,M-CAN USB media text transport / Music USB spam candidate,853,1,01 00 10 20 00 00 00,01 00 10 20 00 00 00,22,01 00 10 20 00 00 00 x853
light_switch_auto_to_lowbeam_to_auto_done,57.478,1,0x4F4,"SPAS12 parking display/status on C-CAN; also Android Auto text on M-CAN, bus matters",835,1,00 00 C0 00 00 00 00 01,00 00 C0 00 00 00 00 01,22,00 00 C0 00 00 00 00 01 x835
light_switch_auto_to_lowbeam_to_auto_done,57.478,1,0x58B,LCA/RCTA/blind spot; stayed fixed in parking/RCTA attempts,803,1,11 00 04 00 00 00 00 20,11 00 04 00 00 00 00 20,22,11 00 04 00 00 00 00 20 x803
light_switch_auto_to_lowbeam_to_auto_done,57.478,1,0x4E5,driver seat heat C-CAN candidate,418,1,80 00 00 0B 49 D0 00 00,80 00 00 0B 49 D0 00 00,22,80 00 00 0B 49 D0 00 00 x418
light_switch_auto_to_lowbeam_to_auto_done,57.478,1,0x53E,gear/reverse secondary candidate,417,1,00 08 00 00 80 05,00 08 00 00 80 05,22,00 08 00 00 80 05 x417
light_switch_auto_to_lowbeam_to_auto_done,57.478,1,0x5CF,seat/climate secondary candidate,393,1,3F 06 00 00 00 7F 80 00,3F 06 00 00 00 7F 80 00,22,3F 06 00 00 00 7F 80 00 x393
highbeam_flash_3x_done,33.694,1,0x4E6,M-CAN generic multimedia text transport,222,2,80 80 00 00 80 80 7C 00,80 80 00 00 80 80 7B 00,31,80 80 00 00 80 80 7C 00 x131 | 80 80 00 00 80 80 7B 00 x91
highbeam_flash_3x_done,33.694,1,0x111,TCU gear/reverse candidate; reverse seen DATA[4]=0x64 in R segment,2318,4,00 40 61 FF 64 00 00 D0,00 40 61 FF 64 00 00 94,26,00 40 61 FF 64 00 00 1C x598 | 00 40 61 FF 64 00 00 58 x582 | 00 40 61 FF 64 00 00 94 x576 | 00 40 61 FF 64 00 00 D0 x562
highbeam_flash_3x_done,33.694,1,0x541,body_gateway: ignition/doors/trunk/hood/sunroof/lights; sunroof DATA[7]&0x02 confirmed,244,4,03 00 41 00 C0 00 00 01,03 00 41 00 C0 00 00 01,24,03 00 41 00 C0 00 00 01 x221 | 03 00 41 80 C1 00 08 01 x15 | 03 00 41 00 C0 00 08 01 x4 | 03 00 41 80 C1 00 00 01 x4
highbeam_flash_3x_done,33.694,1,0x436,PAS11 parking sensor distances; stayed zero in captured segments,454,1,00 00 00 00,00 00 00 00,22,00 00 00 00 x454
highbeam_flash_3x_done,33.694,1,0x490,M-CAN USB media text transport / Music USB spam candidate,447,1,01 00 10 20 00 00 00,01 00 10 20 00 00 00,22,01 00 10 20 00 00 00 x447
highbeam_flash_3x_done,33.694,1,0x4F4,"SPAS12 parking display/status on C-CAN; also Android Auto text on M-CAN, bus matters",438,1,00 00 C0 00 00 00 00 01,00 00 C0 00 00 00 00 01,22,00 00 C0 00 00 00 00 01 x438
highbeam_flash_3x_done,33.694,1,0x58B,LCA/RCTA/blind spot; stayed fixed in parking/RCTA attempts,428,1,11 00 04 00 00 00 00 20,11 00 04 00 00 00 00 20,22,11 00 04 00 00 00 00 20 x428
highbeam_flash_3x_done,33.694,1,0x53E,gear/reverse secondary candidate,228,1,00 08 00 00 80 05,00 08 00 00 80 05,22,00 08 00 00 80 05 x228
highbeam_flash_3x_done,33.694,1,0x4E5,driver seat heat C-CAN candidate,221,1,80 00 00 0B 49 D0 00 00,80 00 00 0B 49 D0 00 00,22,80 00 00 0B 49 D0 00 00 x221
highbeam_flash_3x_done,33.694,1,0x5CF,seat/climate secondary candidate,214,1,3F 06 00 00 00 7F 80 00,3F 06 00 00 00 7F 80 00,22,3F 06 00 00 00 7F 80 00 x214
highbeam_flash_3x_done,33.694,0,0x169,gear/reverse secondary candidate,127,1,20 01 00 FF 14 00 40 00,20 01 00 FF 14 00 40 00,22,20 01 00 FF 14 00 40 00 x127
left_turn_signal_5_blinks_done,54.685,1,0x5CF,seat/climate secondary candidate,413,2,3F 06 00 00 00 7F 80 00,3F 07 00 00 00 7F 80 00,31,3F 07 00 00 00 7F 80 00 x359 | 3F 06 00 00 00 7F 80 00 x54
left_turn_signal_5_blinks_done,54.685,1,0x541,body_gateway: ignition/doors/trunk/hood/sunroof/lights; sunroof DATA[7]&0x02 confirmed,457,3,03 00 41 00 C0 00 00 01,03 00 41 00 C0 00 00 01,25,03 00 41 00 C0 00 00 01 x399 | 03 00 49 00 C0 04 00 01 x30 | 03 00 41 00 C0 04 00 01 x28
left_turn_signal_5_blinks_done,54.685,1,0x436,PAS11 parking sensor distances; stayed zero in captured segments,871,1,00 00 00 00,00 00 00 00,22,00 00 00 00 x871
left_turn_signal_5_blinks_done,54.685,1,0x490,M-CAN USB media text transport / Music USB spam candidate,857,1,01 00 10 20 00 00 00,01 00 10 20 00 00 00,22,01 00 10 20 00 00 00 x857
left_turn_signal_5_blinks_done,54.685,1,0x4F4,"SPAS12 parking display/status on C-CAN; also Android Auto text on M-CAN, bus matters",845,1,00 00 C0 00 00 00 00 01,00 00 C0 00 00 00 00 01,22,00 00 C0 00 00 00 00 01 x845
left_turn_signal_5_blinks_done,54.685,1,0x58B,LCA/RCTA/blind spot; stayed fixed in parking/RCTA attempts,841,1,11 00 04 00 00 00 00 20,11 00 04 00 00 00 00 20,22,11 00 04 00 00 00 00 20 x841
left_turn_signal_5_blinks_done,54.685,1,0x4E5,driver seat heat C-CAN candidate,429,1,80 00 00 0B 49 D0 00 00,80 00 00 0B 49 D0 00 00,22,80 00 00 0B 49 D0 00 00 x429
left_turn_signal_5_blinks_done,54.685,1,0x53E,gear/reverse secondary candidate,427,1,00 08 00 00 80 05,00 08 00 00 80 05,22,00 08 00 00 80 05 x427
left_turn_signal_5_blinks_done,54.685,1,0x4E6,M-CAN generic multimedia text transport,423,1,80 80 00 00 80 80 7B 00,80 80 00 00 80 80 7B 00,22,80 80 00 00 80 80 7B 00 x423
left_turn_signal_5_blinks_done,54.685,0,0x169,gear/reverse secondary candidate,233,1,20 01 00 FF 14 00 40 00,20 01 00 FF 14 00 40 00,22,20 01 00 FF 14 00 40 00 x233
right_turn_signal_5_blinks_done,37.507,1,0x4E6,M-CAN generic multimedia text transport,217,2,80 80 00 00 80 80 7B 00,80 80 00 00 80 80 7B 00,26,80 80 00 00 80 80 7B 00 x213 | 80 80 00 00 80 80 7A 00 x4
right_turn_signal_5_blinks_done,37.507,1,0x111,TCU gear/reverse candidate; reverse seen DATA[4]=0x64 in R segment,2445,4,00 40 61 FF 64 00 00 1C,00 40 61 FF 64 00 00 94,26,00 40 61 FF 64 00 00 1C x623 | 00 40 61 FF 64 00 00 94 x621 | 00 40 61 FF 64 00 00 58 x611 | 00 40 61 FF 64 00 00 D0 x590
right_turn_signal_5_blinks_done,37.507,1,0x541,body_gateway: ignition/doors/trunk/hood/sunroof/lights; sunroof DATA[7]&0x02 confirmed,236,3,03 00 41 00 C0 00 00 01,03 00 41 00 C0 00 00 01,25,03 00 41 00 C0 00 00 01 x188 | 03 00 41 00 C0 02 00 41 x26 | 03 00 41 00 C0 02 00 01 x22
right_turn_signal_5_blinks_done,37.507,1,0x490,M-CAN USB media text transport / Music USB spam candidate,474,1,01 00 10 20 00 00 00,01 00 10 20 00 00 00,22,01 00 10 20 00 00 00 x474
right_turn_signal_5_blinks_done,37.507,1,0x58B,LCA/RCTA/blind spot; stayed fixed in parking/RCTA attempts,468,1,11 00 04 00 00 00 00 20,11 00 04 00 00 00 00 20,22,11 00 04 00 00 00 00 20 x468
